energy_eV,value
1.971132,1000000.000000
1.984792,1000000.000000
1.998643,1000000.000000
2.012688,1000000.000000
2.026932,1000000.000000
2.041379,1000000.000000
2.056034,1000000.000000
2.070901,1000000.000000
2.085984,1000000.000000
2.101288,1000000.000000
2.116815,1000000.000000
2.132577,1000000.000000
2.148576,1000000.000000
2.164816,1000000.000000
2.181303,1000000.000000
2.198044,1000000.000000
2.215044,1000000.000000
2.232308,1000000.000000
2.249844,1000000.000000
2.267658,1000000.000000
2.285756,1000000.000000
2.304145,1000000.000000
2.322832,1000000.000000
2.341825,1000000.000000
2.361132,1000000.000000
2.380759,1000000.000000
2.400715,1000000.000000
2.421008,1000000.000000
2.441648,1000000.000000
2.462638,1000000.000000
2.483996,1000000.000000
2.505729,1000000.000000
2.527844,1000000.000000
2.550354,1000000.000000
2.573269,1000000.000000
2.596598,1000000.000000
2.620355,1000000.000000
2.644551,1000000.000000
2.669197,1000000.000000
2.694307,1000000.000000
2.719894,1000000.000000
2.745972,1000000.000000
2.772554,1000000.000000
2.799657,1000000.000000
2.827294,1000000.000000
2.855483,1000000.000000
2.884239,1000000.000000
2.913580,1000000.000000
2.943518,1000000.000000
2.974084,1000000.000000
3.005291,1000000.000000
3.037161,1000000.000000
3.069714,1000000.000000
3.102972,1000000.000000
3.136958,1000000.000000
3.171698,1000000.000000
3.207215,1000000.000000
3.243537,1000000.000000
3.280691,1000000.000000
3.318706,1000000.000000
3.357612,1000000.000000
3.397442,1000000.000000
3.438227,1000000.000000
3.480004,1000000.000000
3.522809,1000000.000000
3.566679,1000000.000000
3.611657,1000000.000000
3.657772,1000000.000000
3.705091,1000000.000000
3.753650,1000000.000000
3.803500,1000000.000000
3.854691,1000000.000000
3.907278,1000000.000000
3.961321,1000000.000000
4.016879,1000000.000000
4.074019,1000000.000000
4.132807,1000000.000000
