energy_eV,value
1.670946,0.065000
1.682643,0.065000
1.694505,0.068000
1.706535,0.070000
1.718737,0.073000
1.731113,0.076000
1.743670,0.081000
1.756411,0.084000
1.769340,0.089000
1.782460,0.100000
1.795777,0.114000
1.809294,0.130000
1.823016,0.143000
1.836947,0.162000
1.851093,0.186000
1.865456,0.214000
1.880047,0.241000
1.894867,0.270000
1.909923,0.300000
1.925220,0.335000
1.940765,0.378000
1.956562,0.416000
1.972618,0.459000
1.988941,0.503000
2.005532,0.535000
2.022406,0.603000
2.039566,0.651000
2.057020,0.700000
2.074775,0.770000
2.092839,0.819000
2.111221,0.873000
2.129928,0.900000
2.148970,0.938000
2.168356,0.968000
2.188090,0.992000
2.208191,1.000000
2.228665,0.995000
2.249522,0.976000
2.270773,0.949000
2.292429,0.922000
2.314503,0.892000
2.337005,0.830000
2.359950,0.768000
2.383344,0.711000
2.407212,0.638000
2.431563,0.568000
2.456412,0.508000
2.481774,0.443000
2.507664,0.395000
2.534101,0.359000
2.561101,0.324000
2.588683,0.292000
2.616865,0.254000
2.645662,0.214000
2.675106,0.170000
2.705212,0.124000
2.736004,0.095000
2.767504,0.065000
2.799739,0.043000
2.832733,0.032000
2.866514,0.030000
2.901111,0.024000
2.936546,0.016000
2.972864,0.011000
3.010092,0.008000
3.048265,0.003000
3.087417,0.000000
3.127589,0.003000
3.168820,0.005000
3.211152,0.008000
3.254631,0.011000
3.299304,0.014000
3.345210,0.014000
3.392422,0.014000
3.440985,0.011000
3.490959,0.011000
3.542406,0.008000
